,FIPS,State_x,County_x,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,RECFAC09,GROC09,GROCPTH09,SUPERC09,SUPERCPTH09,CONVS09,CONVSPTH09,SPECS09,SPECSPTH09,SNAPS12,SNAPSPTH12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_HHNV10,PCT_LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10
1366,28017,MS,Chickasaw,12.9,15.2,35.8,1,3,0.172028213,0,0.0,11,0.630770113,0,0.0,17.5,1.004823151125402,0,0,0.0,0.0,0.0,0.0,MS,Chickasaw,884.51741701145,5.08577171694716,435.748942028017,2.505456198413161,313.94263635849,4.728763915627203,251.49641669091,1.446046554110568,106.610075650799,0.6129834156554681
387,13029,GA,Bryan,9.6,12.3,28.7,6,5,0.16673892,0,0.0,30,1.000433521,0,0.0,31.166666666666664,0.9674882556238488,7,7,0.0,0.223635,0.2172968,-2.834169,GA,Bryan,4224.28389987123,13.972427148715742,579.320277062798,1.916185218346833,188.055769503923,1.7513109471402772,1205.99024466309,3.988986354854265,400.039441472065,1.3231880444284887
2481,48071,TX,Chambers,9.3,9.6,28.1,2,7,0.204498978,0,0.0,26,0.759567631,1,0.0292141,17.416666666666664,0.48117655726231257,3,3,0.0,0.102159,0.0828821,-18.86949,TX,Chambers,6359.5505679063,18.120442694057157,1381.07225366288,3.935127232912241,278.482739117535,2.330009530769202,1729.03682774019,4.926592283280687,609.04153671226,1.735358834944894
2168,41061,OR,Union,7.7,9.2,24.9,2,8,0.312744332,2,0.078186083,11,0.430023456,2,0.078186083,25.916666666666668,1.0061208380242506,10,10,0.0,0.3988354,0.3882138,-2.663148,OR,Union,12592.7789065986,48.907794417425045,4319.44364485451,16.77584140459263,221.587302086213,2.1101542908886106,2875.47364911838,11.167755356215551,2216.32087781775,8.607739932490873
1561,30015,MT,Chouteau,8.9,8.1,26.1,1,3,0.51786639,0,0.0,1,0.17262213,1,0.17262213,3.0,0.508130081300813,4,4,0.0,0.7707129,0.6775068,-12.09349,MT,Chouteau,4149.64585671314,71.38561597648616,2016.98784103806,34.69788131839085,34.2317546271346,1.4922299314356842,1249.09891755474,21.488025418110094,571.445461634578,9.830474137873352
998,21089,KY,Greenup,13.5,14.4,32.0,1,6,0.161930208,0,0.0,20,0.53976736,2,0.0539767,36.25,0.9875500585719345,9,7,-22.22222,0.238278,0.1906993,-19.96773,KY,Greenup,8861.49877236337,24.00839548188396,2974.89942373801,8.059873811265266,499.450935608904,3.4043414600838657,1881.36340589458,5.0971644700476295,1675.55797163524,4.539577273463126
1023,21141,KY,Logan,11.6,11.8,31.4,1,5,0.186067282,1,0.0372135,12,0.446561477,0,0.0,21.416666666666668,0.8037479046260853,6,5,-16.66667,0.2215903,0.1876454,-15.31875,KY,Logan,754.160571130493,2.810361733297906,321.899980575152,1.199552750419795,407.166334275815,3.8174229727715643,189.558465377769,0.7063851886631974,108.461482726888,0.40417917915739887
1264,26153,MI,Schoolcraft,11.2,12.6,31.3,0,4,0.471309061,0,0.0,9,1.060445387,1,0.117827265,5.5,0.6592352870670023,4,3,-25.0,0.4893565,0.3595829,-26.51924,MI,Schoolcraft,2197.50207615618,25.898669135606127,863.319494848509,10.174655213300046,109.864680589766,2.9227103109807393,328.654427836182,3.8733580181046787,523.696130472481,6.172022751590819
676,18013,IN,Brown,10.6,12.6,28.6,1,3,0.196579516,0,0.0,10,0.655265055,3,0.196579516,9.333333333333332,0.618798205485204,3,3,0.0,0.2050161,0.1988994,-2.983495,IN,Brown,450.147938582862,2.9533390538174915,92.6737128837027,0.6080154368436078,110.256112737181,1.7786112717725602,104.390656562168,0.6848881810928225,61.6161629276737,0.40425247951498294
2348,46121,SD,Todd,12.0,18.2,36.2,0,3,0.315092952,0,0.0,6,0.630185905,0,0.0,13.0,1.307583987125327,5,8,60.0,0.4952457,0.8046671,62.47836,SD,Todd,2138.61690493166,22.249447616850397,1261.34440502317,13.122600967781628,389.176355683827,13.999149485029749,858.759596755749,8.934244660380244,177.095014781617,1.8424366914442054
